Source: aalborg_mfc_interface.sch
Date: Wed 10 Dec 2014 05:16:41 PM EST

Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,ARDUINO1,ARDUINO_MEGA,1,1050-1018-ND,digikey
2,C1 C2 C3 C5 C6,10uF,5,445-4536-1-ND,digikey
3,C4,0.1uF,1,478-3586-1-ND,digikey
4,D1,LED_24V,1,350-1723-ND,digikey
5,E1,ENCODER_C14,1,102-1914-ND,digikey
6,J1 J2,DB15FV,2,A102054-ND,digikey
7,P1,PWR_JACK_2.5x5.5,1,CP-063BH-ND,digikey
8,P2,HEADER_01X03,1,609-3461-ND,digikey
9,R1 R2 R3 R4,5.11k,4,P5.11KAACT-ND,digikey
10,REG1,CONV_DC_DC_12V_1A,1,945-1392-5-ND,digikey
11,U1,MAX6817,1,MAX6817EUT+TCT-ND,digikey
