Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,ARDUINO1,ARDUINO_MEGA,1,BOARD MCU MEGA2560,1050-1018-ND,digikey
2,C1 C2 C3 C5 C6,10uF,5,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
3,C4,0.1uF,1,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
4,D1,LED_24V,1,LED 2MM 24V VERTICAL RED PC MNT,350-1723-ND,digikey
5,E1,ENCODER_C14,1,ENCODER OPT 32PPR DET CABLE TYPE,102-1914-ND,digikey
6,J1 J2,DB15FV,2,CONN D-SUB RCPT 15POS VERT GOLD,A102054-ND,digikey
7,P1,PWR_JACK_2.5x5.5,1,CONN PWR JACK DC 2.5X5.5 8A T/H,CP-063BH-ND,digikey
8,P2,HEADER_01X03,1,01x03 .100 SR STRAIGHT,609-3461-ND,digikey
9,R1 R2 R3 R4,5.11k,4,RES SMD 5.11K OHM 1% 1/2W 1210,P5.11KAACT-ND,digikey
10,REG1,CONV_DC_DC_12V_1A,1,CONV DC/DC 1A 12V OUT SIP VERT,945-1392-5-ND,digikey
11,U1,MAX6817,1,IC DEBOUNCER SWITCH DUAL SOT23-6,MAX6817EUT+TCT-ND,digikey
